City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
252,Wanning,CN,80.96,overcast clouds,18.8003,110.3967,Paradise Hotel
253,Bac Lieu,VN,83.03,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
259,Banjar,ID,77.67,overcast clouds,-8.19,114.9675,The Hamsa Resort
261,Mayo,US,88.18,clear sky,38.8876,-76.5119,Resorts Resource Group International
263,Sarangani,PH,83.55,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
264,Pathein,MM,79.45,overcast clouds,16.7833,94.7333,Pathein Hotel
265,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
268,Taylorville,US,88.83,clear sky,39.5489,-89.2945,Economy Inn
269,Acarau,BR,83.82,scattered clouds,-2.8856,-40.12,castelo pizzaria
270,Wilmington,US,89.98,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
271,Belmonte,BR,80.22,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
274,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
275,Salem,IN,87.03,overcast clouds,11.65,78.1667,YMCA PROGRAM CENTRE
280,Lorengau,PG,82.6,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
283,Dharur,IN,85.46,overcast clouds,18.8167,76.1167,Hotel Rajmahal
284,Havelock,US,87.75,few clouds,34.8791,-76.9013,Sherwood Motel
293,Ndjole,GA,82.36,light rain,-0.1783,10.7649,Motel Kédyann
294,Itaituba,BR,84.36,broken clouds,-4.2761,-55.9836,Hotel Campos
296,Carauari,BR,77.13,broken clouds,-4.8828,-66.8958,Hotel Fellip
297,Celestun,MX,84.6,overcast clouds,20.8667,-90.4,Posada Lilia
299,Mlonggo,ID,78.13,overcast clouds,-6.5333,110.7,Asia Metal Art
300,Buala,SB,78.69,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
305,Victoria,HK,84.96,moderate rain,22.2855,114.1577,Mini Central
306,Sabancuy,MX,83.93,broken clouds,18.9667,-91.1833,pulpo
307,Korla,CN,89.33,clear sky,41.7597,86.1469,Gulisitan Hotel
310,Nabire,ID,75.38,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
318,Bengkulu,ID,76.95,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
326,Sao Filipe,CV,76.35,clear sky,14.8961,-24.4956,Hotel Xaguate
330,Carballo,ES,88.02,few clouds,43.213,-8.691,Pazo do Souto
331,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
333,Zhezkazgan,KZ,78.78,broken clouds,47.8043,67.7144,Hotel Zumrat
337,Gat,IL,79.79,clear sky,31.61,34.7642,OlusHome
338,The Valley,AI,87.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
340,Qiongshan,CN,82.38,clear sky,20.0058,110.3542,Sun City Restaurant
344,Manggar,ID,80.58,broken clouds,-2.8833,108.2667,Guest Hotel
345,Faanui,PF,79.32,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
346,Crestview,US,87.35,scattered clouds,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
350,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
360,Batticaloa,LK,83.44,overcast clouds,7.7102,81.6924,Grand Star Guest House
362,Afua,BR,86.02,few clouds,-0.1567,-50.3867,Hotel Dias
366,Pavlodar,KZ,76.8,light rain,52.3,76.95,Sary Arka
368,Piney Green,US,89.02,broken clouds,34.716,-77.3202,Holiday City Mobile Home Community
376,Itoman,JP,81.37,mist,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
