City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Nirmal,IN,19.1,78.35,88.36,49,78,6.24,broken clouds
223,Sinnamary,GF,5.3833,-52.95,84.07,69,55,5.88,broken clouds
224,Mazamari,PE,-11.3258,-74.5308,72.73,65,85,2.08,overcast clouds
225,Lowestoft,GB,52.4752,1.7516,68.25,66,54,7.81,broken clouds
226,Juli,PE,-16.2167,-69.45,44.06,18,0,2.42,clear sky
227,Saskylakh,RU,71.9167,114.0833,62.94,42,18,5.53,few clouds
228,Samarai,PG,-10.6167,150.6667,81.54,76,55,13.13,broken clouds
229,Eirunepe,BR,-6.6603,-69.8736,72.19,62,96,4.79,overcast clouds
230,Fare,PF,-16.7,-151.0167,79.56,66,42,19.91,scattered clouds
231,Edinburg,GB,55.9521,-3.1965,61.11,70,75,12.66,broken clouds
232,Maridi,SS,4.9158,29.4742,78.87,65,79,3.65,broken clouds
233,Byron Bay,AU,-28.65,153.6167,51.94,83,70,4.23,broken clouds
234,Mamlyutka,KZ,54.9375,68.5394,60.01,73,7,9.57,clear sky
235,Pitkyaranta,RU,61.5734,31.4792,58.01,65,56,8.99,broken clouds
236,Calvinia,ZA,-31.4707,19.776,53.31,54,100,19.51,overcast clouds
237,Kuala Terengganu,MY,5.3302,103.1408,80.55,83,20,5.01,few clouds
238,Bilibino,RU,68.0546,166.4372,47.61,41,35,5.21,scattered clouds
239,Latung,PH,5.5,120.8833,84.02,66,93,2.42,overcast clouds
240,Chuy,UY,-33.6971,-53.4616,58.86,69,2,3.56,clear sky
241,Severo-Kurilsk,RU,50.6789,156.125,42.67,94,86,12.06,overcast clouds
242,Cotonou,BJ,6.3654,2.4183,85.98,74,20,16.11,few clouds
243,La Palma,US,33.8464,-118.0467,68.9,92,100,6.91,drizzle
244,Progreso,MX,21.2833,-89.6667,87.12,65,77,10.22,broken clouds
245,Kodiak,US,57.79,-152.4072,47.77,83,100,9.55,overcast clouds
246,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,25.32,scattered clouds
247,Flinders,AU,-34.5833,150.8552,46.18,79,1,1.01,clear sky
248,Souillac,MU,-20.5167,57.5167,73.78,68,40,14.97,scattered clouds
249,Kwinana,AU,-32.25,115.7667,58.17,70,100,8.97,overcast clouds
250,Secunda,ZA,-26.55,29.1667,56.89,23,0,5.48,clear sky
251,Taree,AU,-31.9,152.4667,45.5,91,3,3.89,clear sky
252,Wanning,CN,18.8003,110.3967,80.96,93,99,9.28,overcast clouds
253,Bac Lieu,VN,9.285,105.7244,83.03,78,93,8.34,overcast clouds
254,Coihaique,CL,-45.5752,-72.0662,39.81,93,100,6.91,fog
255,Chapais,CA,49.7834,-74.8492,56.98,70,86,5.82,overcast clouds
256,Manzil Salim,TN,35.8567,8.4765,90.57,14,0,10.98,clear sky
257,Gayny,RU,60.3071,54.3241,64.35,42,12,3.78,few clouds
258,Quesnel,CA,52.9999,-122.5029,50.5,66,75,10.36,broken clouds
259,Banjar,ID,-8.19,114.9675,77.67,90,98,3.38,overcast clouds
260,Lagoa,PT,39.05,-27.9833,62.89,78,6,12.86,clear sky
261,Mayo,US,38.8876,-76.5119,88.18,78,0,5.75,clear sky
262,Ketchikan,US,55.3422,-131.6461,48.67,93,100,3.44,overcast clouds
263,Sarangani,PH,5.4033,125.4636,83.55,69,100,4.88,overcast clouds
